Region,year,marriage,divorce,income,grp,higher_edu,senior_edu,junior_edu,primary_edu,kindergarten_edu,birth,death,natural_growth,natural_disaster,urban_unemployment,mobile_owner,car_owner,patent
Anhui,2015,73.91,18.12,18363,23831.2,2309.0,3318.0,3125.0,6946,3052,12.92,5.94,6.98,118.9,30.9,68.17,498.7,127709
Fujian,2015,34.94,8.93,25404,26819.5,2508.0,2889.0,2978.0,7575,3974,13.9,6.1,7.8,189.1,15.4,108.2,435.37,83146
Jiangxi,2015,30.62,9.52,18437,16780.9,2654.0,3308.0,3884.0,9298,3660,13.2,6.24,6.96,69.7,29.9,66.37,338.94,36936
Shandong,2015,70.1,24.09,22703,55288.8,2516.0,2941.0,3175.0,6892,2776,12.55,6.67,5.88,80.7,43.7,92.3,1510.81,193220
Henan,2015,109.44,25.23,17125,37084.1,2293.0,3454.0,4290.0,9931,4169,12.7,7.05,5.65,44.0,42.5,79.51,952.01,74373
Hubei,2015,57.3,16.69,20026,30344.0,3038.0,2294.0,2348.0,5774,2795,10.74,5.83,4.91,82.2,33.4,77.42,498.63,74240
Hunan,2015,54.27,18.09,19317,28538.6,2215.0,2720.0,3301.0,7256,3215,13.58,6.86,6.72,126.7,45.1,69.17,507.88,54501
Guangdong,2015,84.04,19.34,27859,74732.4,2434.0,3589.0,3313.0,8102,3751,11.12,4.32,6.8,315.3,37.0,133.47,1471.4,355939
Guangxi,2015,42.13,10.44,16873,14797.8,2178.0,3611.0,4129.0,9258,4352,14.05,6.15,7.9,48.5,18.1,74.96,363.82,43696
Hainan,2015,8.31,1.51,18979,3734.2,2290.0,3433.0,3642.0,8563,3545,14.57,6.0,8.57,14.2,4.8,98.16,83.29,3127
Chongqing,2015,29.26,13.73,20110,16040.5,3071.0,3702.0,3211.0,6932,3061,11.05,7.19,3.86,22.0,14.3,90.76,278.61,82791
Sichuan,2015,74.15,28.62,17221,30342.0,2312.0,3162.0,3027.0,6655,3049,10.3,6.94,3.36,132.0,54.6,82.87,767.13,110746
Guizhou,2015,49.26,10.84,13697,10541.0,1819.0,4683.0,5643.0,9872,3719,13.0,7.2,5.8,72.6,14.5,83.34,292.61,18295
Yunnan,2015,45.82,10.91,15223,14960.0,1819.0,2897.0,4018.0,8014,2745,12.88,6.48,6.4,141.9,19.5,78.87,484.23,17603
Tibet,2015,1.54,0.24,12254,1043.0,1766.0,2319.0,3696.0,9192,2766,15.75,5.1,10.65,107.2,1.8,82.93,33.18,309
Shaanxi,2015,35.6,9.73,17395,17898.8,3628.0,3320.0,2837.0,6175,3701,10.1,6.28,3.82,72.7,22.3,94.04,438.12,74904
Gansu,2015,22.03,4.62,13467,6556.6,2194.0,3517.0,3509.0,6956,2706,12.36,6.15,6.21,61.6,9.5,80.99,239.36,14584
Qinghai,2015,5.11,1.28,15813,2011.0,1275.0,3659.0,3656.0,7787,3160,14.72,6.17,8.55,12.0,4.4,87.88,78.18,2590
Ningxia,2015,6.09,1.81,17329,2579.4,2244.0,3672.0,4144.0,8814,2914,12.62,4.58,8.04,8.3,4.9,95.32,100.94,4394
Xinjiang,2015,27.66,10.18,16859,9306.9,1759.0,3385.0,3949.0,8916,3526,15.59,4.51,11.08,155.8,10.3,85.96,294.47,12250
Beijing,2014,17.0,6.56,44489,22926.0,5429.0,1630.0,1451.0,3883,1726,9.75,4.92,4.83,10.5,7.4,189.46,530.83,138111
Tianjin,2014,9.94,4.45,28832,10640.6,4283.0,1924.0,1815.0,3893,1629,8.19,6.05,2.14,1.3,22.5,89.12,274.14,63422
Hebei,2014,66.13,18.57,16647,25208.9,2098.0,2579.0,3121.0,7696,2957,13.18,6.23,6.95,135.1,38.3,84.36,930.08,30000
Shanxi,2014,35.07,6.56,16538,12094.7,2519.0,3686.0,3358.0,6185,2667,10.92,5.93,4.99,50.8,24.5,91.35,424.36,15687
Inner Mongolia,2014,21.68,8.84,20559,12158.2,2156.0,2941.0,2681.0,5191,2238,9.31,5.75,3.56,113.1,24.8,105.18,342.14,6359
Liaoning,2014,34.51,15.27,22820,20025.7,2933.0,2427.0,2405.0,4521,1991,6.49,6.23,0.26,169.6,41.0,103.29,520.04,37860
Jilin,2014,23.52,12.21,17520,9966.5,3168.0,2207.0,2264.0,4612,1679,6.62,6.22,0.4,117.4,23.2,94.91,284.57,11933
Heilongjiang,2014,35.23,18.73,17404,12170.8,2555.0,2381.0,2389.0,3875,1397,7.37,6.46,0.91,55.8,39.9,90.21,322.78,31856
Shanghai,2014,14.19,6.15,45966,25269.8,3348.0,1197.0,1767.0,3325,2082,8.35,5.21,3.14,2.04,25.6,135.74,255.03,81664
Jiangsu,2014,83.45,21.83,27173,64830.5,2858.0,2542.0,2333.0,5938,2948,9.45,7.02,2.43,14.0,36.6,101.39,1095.45,421907
Zhejiang,2014,43.68,13.58,32658,40023.5,2408.0,2726.0,2727.0,6448,3379,10.51,5.51,5.0,64.4,33.1,133.82,1012.05,261435
Anhui,2014,79.89,17.1,16796,22519.7,2245.0,3583.0,3191.0,6885,2868,12.86,5.89,6.97,29.4,31.5,69.31,422.46,99160
Fujian,2014,37.53,8.73,23331,24942.1,2513.0,3030.0,2983.0,7277,3859,13.7,6.2,7.5,45.4,14.3,112.37,386.6,58075
Jiangxi,2014,37.12,8.94,16734,15667.8,2527.0,3286.0,3870.0,9132,3524,13.24,6.26,6.98,72.8,29.4,64.69,287.68,25594
Shandong,2014,83.18,23.41,20864,50774.8,2421.0,3099.0,3234.0,6662,2700,14.23,6.84,7.39,82.4,43.1,88.5,1350.25,158619
Henan,2014,117.58,23.09,15695,34574.8,2203.0,3480.0,4242.0,9865,3922,12.8,7.02,5.78,118.7,40.0,81.74,969.28,62434
Hubei,2014,62.19,15.74,18283,28242.1,3121.0,2393.0,2373.0,5538,2653,11.86,6.96,4.9,68.4,37.9,79.21,422.23,59050
